Identifiant,Texte,Traduction ,Labels
1,Black people are the absolute worst.,Les Noirs sont vraiment les pires.,Racisme
2,You black people make me sick.,"Vous autres, les Noirs, vous me dégoûtez.",Racisme
3,There is nothing worse than a black person.,Il n'y a rien de pire qu'une personne noire.,Racisme
4,Seeing black people in this place makes me so angry.,Voir des Noirs ici me met tellement en colère.,Racisme
5,Black people who think they are my equal fill me with so much rage.,Les Noirs qui se croient mes égaux me remplissent d'une rage immense.,Racisme
6,Black people like you make me furious.,Les Noirs comme toi me rendent furieux.,Racisme
7,You and all the other black people in this country make me boil with anger.,Vous et tous les autres Noirs de ce pays me mettez hors de moi.,Racisme
8,The utter scorn I feel for black people is hard to to put into words.,Le mépris absolu que j'éprouve pour les Noirs est difficile à exprimer.,Racisme
9,I absolutely abhor all black people.,Je déteste absolument tous les Noirs.,Racisme
10,Black people are disgusting.,Les Noirs sont dégoûtants.,Racisme
11,All black people are repulsive.,Tous les Noirs sont répugnants.,Racisme
12,Black people are absolutely despicable.,Les Noirs sont absolument méprisables.,Racisme
13,Black people are just so sickening.,Les Noirs sont tout simplement répugnants.,Racisme
14,Black people can't stop themselves from being absolutely revolting.,Les Noirs ne peuvent s'empêcher d'être absolument répugnants.,Racisme
15,Black people like you are repugnant.,Les Noirs comme toi sont répugnants.,Racisme
16,You black people are all dishonest.,"Vous autres, les Noirs, vous êtes tous malhonnêtes.",Racisme
17,All black people like them are vile.,Tous les Noirs comme eux sont ignobles.,Racisme
18,Black people like you are just pathetic.,Les Noirs comme toi sont tout simplement pathétiques.,Racisme
19,Black people with any power are a threat to civilisation.,Les Noirs qui détiennent un quelconque pouvoir constituent une menace pour la civilisation.,Racisme
20,Black people being in charge is a danger to our country.,Le fait que des Noirs soient au pouvoir représente un danger pour notre pays.,Racisme
21,It's in black people's nature to be uncivilised.,Il est dans la nature des Noirs d'être incivilisés.,Racisme
22,Only black people are that violent and cruel.,Seuls les Noirs sont aussi violents et cruels.,Racisme
23,Only black people can be so ignorant.,Seuls les Noirs peuvent être aussi ignorants.,Racisme
